filename,document_type,source_type,chunk_count,mean_net_sentiment,std_net_sentiment,pct_positive,pct_negative,pct_neutral
20210504_SCP_Resource_Finance_LP_SKE-CN_210504_scp_ske_drilling.pdf,equity_research,Uploaded,40,0.209,0.345,20,2.5,77.5
20251215_SCP_Resource_Finance_LP_SKE-CN_251215_scp_ske_tahltan.pdf,equity_research,Uploaded,42,0.203,0.345,21.429,2.381,76.19
20210525_SCP_Resource_Finance_LP_SKE-CN_210525_scp_ske_drilling.pdf,equity_research,Uploaded,42,0.203,0.345,21.429,2.381,76.19
20260127_SCP_Resource_Finance_LP_SKE-CN_260127_scp_ske_permit.pdf,equity_research,Uploaded,41,0.203,0.343,19.512,2.439,78.049
20221101_SCP_Resource_Finance_LP_SKE-CN_221101_scp_ske_drilling.pdf,equity_research,Uploaded,40,0.202,0.333,20,2.5,77.5
20221025_SCP_Resource_Finance_LP_SKE-CN_221025_scp_ske_drilling.pdf,equity_research,Uploaded,40,0.202,0.333,20,2.5,77.5
20260128_SCP_Resource_Finance_LP_SKE-CN_260128_scp_ske_permit.pdf,equity_research,Uploaded,40,0.202,0.333,20,2.5,77.5
20221122_SCP_Resource_Finance_LP_SKE-CN_221122_scp_ske_drilling.pdf,equity_research,Uploaded,40,0.202,0.333,20,2.5,77.5
20231218_SCP_Resource_Finance_LP_SKE-CN_231218_scp_ske_funding.pdf,equity_research,Uploaded,40,0.202,0.331,20,2.5,77.5
20210407_SCP_Resource_Finance_LP_SKE-CN_210407_scp_ske_mre.pdf,equity_research,Uploaded,44,0.198,0.37,22.727,6.818,70.455
20210707_SCP_Resource_Finance_LP_SKE-CN_210707_scp_ske_drilling.pdf,equity_research,Uploaded,41,0.196,0.329,19.512,2.439,78.049
20211208_SCP_Resource_Finance_LP_SKE-CN_211208_scp_ske_awf_drilling.pdf,equity_research,Uploaded,41,0.196,0.329,19.512,2.439,78.049
20210531_SCP_Resource_Finance_LP_SKE-CN_210531_scp_ske_drilling.pdf,equity_research,Uploaded,43,0.192,0.367,20.93,4.651,74.419
20210429_Hannam_-_Partners_SKE-CN_Increasing_target_price_to_C-6.52-sh_on_inclusion_of_Res.pdf,equity_research,Uploaded,47,0.183,0.359,21.277,6.383,72.34
20240627_SCP_Resource_Finance_LP_SKE-CN_240627_scp_ske_funding.pdf,equity_research,Uploaded,44,0.183,0.369,20.455,6.818,72.727
20260203_SCP_Resource_Finance_LP_SKE-CN_260203_scp_ske_emafinalpermit.pdf,equity_research,Uploaded,44,0.182,0.369,20.455,6.818,72.727
20230620_SCP_Resource_Finance_LP_SKE-CN_230620_scp_ske_mre.pdf,equity_research,Uploaded,45,0.181,0.366,22.222,6.667,71.111
20201217_SCP_Resource_Finance_LP_SKE-CN_201209_scp_ske_drilling.pdf,equity_research,Uploaded,50,0.17,0.351,20,6,74
20210723_SCP_Resource_Finance_LP_SKE-CN_210723_scp_ske_pfs.pdf,equity_research,Uploaded,53,0.16,0.344,18.868,5.66,75.472
20231205_Atrium_Research_-Sponsored-_Mining_Monthly-_November_Edition-_Mining_Monthly-_Novemb.pdf,equity_research,Uploaded,55,0.154,0.339,18.182,5.455,76.364
